writing-source-title,writer-name,prayer-line
The Devotional Poems Of Mirabai,Mirabai,"Beautiful to look upon, soft and cool as a lotus. Able to remove the three kinds of pain  "
The Devotional Poems Of Mirabai,Mirabai,When Prahlad grasped those holy feet He was elevated to the rank of Indra  
The Devotional Poems Of Mirabai,Mirabai,In the fair body of the holy Dwarf They measured the universe  
The Devotional Poems Of Mirabai,Mirabai,They tamed the serpent Kaliya When Krishna sported as a cowherd  
The Devotional Poems Of Mirabai,Mirabai,Master of the arts of love His crown is a peacock's plume And the tilak gleams upon his brow His golden ear-rings and raven locks Are waving gracefully at his ears He is playing the flute That rests at His adorable lips Experiencing deep joy Himself. 
The Devotional Poems Of Mirabai,Mirabai,"He IS charming the hearts of the women of Braj I2 On beholding this beautiful vision of Mohan Giridhara, "
The Devotional Poems Of Mirabai,Mirabai,Spreading forth nectar from Thy holy lips Thy belt is adorned with small bells. 
The Devotional Poems Of Mirabai,Mirabai,"And the jingling of Thy anklets charms the heart Mira’s Lord is Gopal, "
The Devotional Poems Of Mirabai,Mirabai,He who watches over His devotees with love And delights the hearts of holy men 
The Devotional Poems Of Mirabai,Mirabai,I have no other refuge but Thee In all the three worlds 
The Devotional Poems Of Mirabai,Mirabai,"Though I have searched the whole universe. Nothing pleases me but Thou Says Mira, “O Lord, I am Thy slave Do not forget me ”"
The Devotional Poems Of Mirabai,Mirabai,"Deign to favour me, O Han, With the gift of a single glance My gaze is ever fixed on Thee, But Thine is withdrawn Hard indeed must be Thy heart All my hopes are fixed "
The Devotional Poems Of Mirabai,Mirabai,"I am standing before Thee m supplication. And behold’ The dawn has come Mira’s Lord is Han, the Indestructible To Him would she sacrifice her life "
The Devotional Poems Of Mirabai,Mirabai,Now the merits of Nand and Yashoda Arising from pious deeds in former births 
The Devotional Poems Of Mirabai,Mirabai,"And the Lord, the Indestructible, has come He wears His yellow loin-cloth. "
The Devotional Poems Of Mirabai,Mirabai,His necklace of gems hangs upon His chest And He holds the fair flute in His hands Mira’s Lord is the courtlyJ Giridhara May He grant unto His servant 
The Devotional Poems Of Mirabai,Mirabai,And gazes at my body with His lustrous eyes His eyebrows are the bow. 
The Devotional Poems Of Mirabai,Mirabai,"And His side-long glances the arrows Which strike against my heart Come, says my companion, heal thyself See, I will draw a yantra "
The Devotional Poems Of Mirabai,Mirabai,I will crush herbs and bring them for Thee But if thou art smitten with the disease of love 
The Devotional Poems Of Mirabai,Mirabai,"I may resort to the magic of yantra and mantra, 2 But that Sweet image has entered my heart And the damage is done Bring that Dark-Faced One before me, "
The Devotional Poems Of Mirabai,Mirabai,"I stand smiling in His expectation Pierce my body, look within And see the broken fragments of my heart Without vision of her Lord Giridhara, "
The Devotional Poems Of Mirabai,Mirabai,"He wears a gem-studded crown upon His brow, Mira’s Lord is the courtly Giridhara, "
The Devotional Poems Of Mirabai,Mirabai,Her mind is entrapped by His form Having beheld Thy beauty 
The Devotional Poems Of Mirabai,Mirabai,But attachment to the Dancer with the Peacock Plume Has now sunk deep 
The Devotional Poems Of Mirabai,Mirabai,And the world says I have gone astray Mira has taken refuge with the Lord 
The Devotional Poems Of Mirabai,Mirabai,"By the beauty of the angular posea of the Lord On beholding the beauty of Madan,’ "
The Devotional Poems Of Mirabai,Mirabai,My eyes drink in the nectar And do not blink 
The Devotional Poems Of Mirabai,Mirabai,"Attracted by the lotus-petal beauty of His brows. It IS as if they were now entangled In His curling, odorous locks His body is bent at the waist. "
The Devotional Poems Of Mirabai,Mirabai,"His turban is aslant and His necklace swinging Mira is thrilled by the beauty of the Lord, "
The Devotional Poems Of Mirabai,Mirabai,"His side-long glances, His gentle smiles He grazes His cows by the Yamuna, "
The Devotional Poems Of Mirabai,Mirabai,I have lost all consciousness of my surroundings And worldly shame has fled How beautiful are the crescent moons Shimmering on His peacock-plume crown’ 
The Devotional Poems Of Mirabai,Mirabai,He wears a tilak-mark of saffron Set between His lovely eyes 
The Devotional Poems Of Mirabai,Mirabai,"His crocodile-earrings are glinting by His cheeks. And His dark locks, playing in the breeze. "
The Devotional Poems Of Mirabai,Mirabai,Ranging with anxious longing From head to toe 
The Devotional Poems Of Mirabai,Mirabai,I was standing at the door of my house When Mohan passed 
The Devotional Poems Of Mirabai,Mirabai,But my wayward eyes brook no obstruction They are sold and belong to another 
The Devotional Poems Of Mirabai,Mirabai,Strange is the behaviour of my eyes That sweet form has entered my mind And pierced its way into my heart How long have I been standing in my house 
